,time_var,space_var,r2,isotropy
0,0.19753737768103405,0.92660208900862,0.5604478716850281,0.21318468847008654
1,0.5765613776565744,0.23086233536775488,0.6506319046020508,2.4974250422362494
2,0.8751199040332863,0.8746588211599222,0.6114035248756409,1.0005271574037893
3,0.7122180350066356,0.6398305564237472,0.6045695543289185,1.1131353885120603
5,0.2368340664950959,0.8148789412567519,0.5862758159637451,0.290637117373333
7,0.5459181027129606,0.4587386060657658,0.5683919191360474,1.190041769963212
8,0.7832199580229753,0.11936514333186254,0.6445108652114868,6.561546663965742
9,0.3432723682519355,0.9322078475968864,0.5405795574188232,0.36823587050554035
10,0.1181529333953708,0.779653502848156,0.6084839701652527,0.1515454403318214
12,0.8397943806352497,0.6868530155627752,0.5871098041534424,1.222669714781934
13,0.6202862508370556,0.7437749154283037,0.5481680631637573,0.8339703826659212
14,0.6212685718286312,0.5302335371838877,0.6486172080039978,1.1716885641150458
15,0.635286340349192,0.6261408279327765,0.598734974861145,1.0146061588837925
16,0.9946812929381156,0.39449213589665766,0.618161678314209,2.5214223616327938
17,0.9855170239657328,0.36877375349381136,0.6105575561523438,2.672416392513876
18,0.7638135136817865,0.10530694168474276,0.6127740740776062,7.253211435656482
21,0.9911176559029504,0.10373788578735252,0.5884953737258911,9.554056826785505
22,0.7762117102449653,0.13379453372602748,0.6210343837738037,5.801520350856952
23,0.9721186102424212,0.10476728684440864,0.6134704947471619,9.278837311938107
24,0.7845872409289869,0.11108920421474318,0.6714849472045898,7.062677660489178
27,0.5349957233922976,0.24102223591801983,0.6007022857666016,2.2196944665896656
28,0.44620578155190255,0.2701937025606471,0.6154353618621826,1.6514292425144443
29,0.4395081591784517,0.2565285956109106,0.6536976099014282,1.7132910977498783
30,0.8395609127141764,0.23908273215931697,0.530095100402832,3.5115915948071077
31,0.8387097545743264,0.23286088246914327,0.6333843469619751,3.6017631887376576
32,0.8257624791683222,0.2943531812879737,0.6298338174819946,2.80534586225673
33,0.8872673235190249,0.2738294751271251,0.6569108963012695,3.2402184721243463
34,0.8846596199116696,0.3065699748848821,0.5937472581863403,2.8856694796803306
35,0.880212550547874,0.3033880005513844,0.6078252792358398,2.9012767444597523
36,0.504490555058137,0.30729949390567257,0.6218664646148682,1.6416901591546174
37,0.5172678733202892,0.33133966039362184,0.6523993015289307,1.5611408326603284
38,0.8948831691681537,0.1820566712402253,0.635759711265564,4.915409927425005
39,0.9143496041474056,0.17146298609054977,0.6359254121780396,5.332635485914941
40,0.908704008803006,0.34472187988608094,0.6568440198898315,2.6360497021636755
41,0.9291058294008052,0.18564923975118847,0.6320229768753052,5.004630402182174
42,0.9258731368950236,0.1813313633424223,0.6388487815856934,5.105973505237615
44,0.9219301038774984,0.18379293313854195,0.6380962133407593,5.0161346692397215
45,0.9239636962788934,0.17149242680235455,0.592180609703064,5.387781335345869
46,0.680911072842765,0.18328683981449664,0.5683947801589966,3.7150025257236714
47,0.675761624574595,0.4331905452903446,0.6469478607177734,1.5599639279330713
49,0.7061346883464548,0.4392839857154344,0.5895521640777588,1.6074674044773503
50,0.6793684982785463,0.4380265452988565,0.526213526725769,1.5509756328010376
51,0.717251268978836,0.4266795235477965,0.5570487976074219,1.6810070073552281
52,0.9429728838617436,0.436368335978228,0.5927319526672363,2.1609562521254797
53,0.6806198557542196,0.47511019942043375,0.5636986494064331,1.4325515566377613
57,0.6558491521778143,0.5318307973297787,0.6460497379302979,1.2331913749085388
